week,signal_date,exec_date,n_ranked,n_long,n_short,mean_long,mean_short,factor_return
2023-01-02/2023-01-08,2023-01-06,2023-01-09,481,49,49,0.03534235988517117,0.023408373577992247,0.011933986307178922
2023-01-09/2023-01-15,2023-01-13,2023-01-17,481,49,49,-0.008714863360201261,-0.0008466794579008225,-0.007868183902300438
2023-01-16/2023-01-22,2023-01-20,2023-01-23,481,49,49,0.009872127172594669,0.0146575610256527,-0.004785433853058031
2023-01-23/2023-01-29,2023-01-27,2023-01-30,481,49,49,0.012281258059983827,0.0351087672717237,-0.02282750921173987
2023-01-30/2023-02-05,2023-02-03,2023-02-06,481,49,49,0.018084868231203116,-0.021579676670786193,0.03966454490198931
2023-02-06/2023-02-12,2023-02-10,2023-02-13,481,49,49,-0.004669844777202883,-0.0012249672787547402,-0.003444877498448143
2023-02-13/2023-02-19,2023-02-17,2023-02-21,481,49,49,-0.0078336966440466,-0.015950733156222478,0.008117036512175877
2023-02-20/2023-02-26,2023-02-24,2023-02-27,481,49,49,-0.0027890013859105207,0.026955810284633824,-0.029744811670544345
2023-02-27/2023-03-05,2023-03-03,2023-03-06,481,49,49,-0.056607280555471616,-0.07569127639609798,0.01908399584062636
2023-03-06/2023-03-12,2023-03-10,2023-03-13,481,49,49,-0.009829590670642764,0.031921791129590926,-0.04175138180023369
2023-03-13/2023-03-19,2023-03-17,2023-03-20,481,49,49,0.017881038566691217,0.013514424957095485,0.004366613609595732
2023-03-20/2023-03-26,2023-03-24,2023-03-27,481,49,49,0.04271057581448429,0.03507761375684725,0.007632962057637041
2023-03-27/2023-04-02,2023-03-31,2023-04-03,481,49,49,-0.007382197989791117,-0.022309875452023398,0.01492767746223228
2023-04-03/2023-04-09,2023-04-06,2023-04-10,481,49,49,0.02040220291288453,0.007577722110333906,0.012824480802550622
2023-04-10/2023-04-16,2023-04-14,2023-04-17,481,49,49,0.004344686954658616,-0.0008745300800424662,0.005219217034701082
2023-04-17/2023-04-23,2023-04-21,2023-04-24,481,49,49,0.008634347890552634,0.005782159577240575,0.002852188313312059
2023-04-24/2023-04-30,2023-04-28,2023-05-01,481,49,49,-0.0211773232040313,-0.009220617621328007,-0.011956705582703293
2023-05-01/2023-05-07,2023-05-05,2023-05-08,481,49,49,0.004388058200953492,-0.01905031600828323,0.023438374209236723
2023-05-08/2023-05-14,2023-05-12,2023-05-15,481,49,49,0.022698285598957327,0.009751839562765367,0.01294644603619196
2023-05-15/2023-05-21,2023-05-19,2023-05-22,481,49,49,0.030252725726158763,-0.01729887270456884,0.04755159843072761
2023-05-22/2023-05-28,2023-05-26,2023-05-30,481,49,49,0.005655148353818585,0.02236911068841496,-0.016713962334596377
2023-05-29/2023-06-04,2023-06-02,2023-06-05,481,49,49,0.010359785429448931,0.01382913800569121,-0.003469352576242278
2023-06-05/2023-06-11,2023-06-09,2023-06-12,481,49,49,0.030390010393566477,0.05030082200793319,-0.019910811614366714
2023-06-12/2023-06-18,2023-06-16,2023-06-20,481,49,49,-0.007849859619940032,-0.031242283109857404,0.023392423489917373
2023-06-19/2023-06-25,2023-06-23,2023-06-26,481,49,49,0.03323574421741228,0.04630430624780649,-0.013068562030394207
2023-06-26/2023-07-02,2023-06-30,2023-07-03,481,49,49,-0.01608113746479528,-0.006147678209394452,-0.00993345925540083
2023-07-03/2023-07-09,2023-07-07,2023-07-10,481,49,49,0.024115055855558554,0.0319410466410781,-0.007825990785519547
2023-07-10/2023-07-16,2023-07-14,2023-07-17,481,49,49,0.006924550974366757,0.020555681906141154,-0.013631130931774397
2023-07-17/2023-07-23,2023-07-21,2023-07-24,481,49,49,0.0024019354191878004,-0.0022813554249523087,0.004683290844140109
2023-07-24/2023-07-30,2023-07-28,2023-07-31,481,49,49,-0.00039579648592380045,-0.016347070979096694,0.015951274493172893
2023-07-31/2023-08-06,2023-08-04,2023-08-07,481,49,49,0.0004065725832939139,-0.012752949549066552,0.013159522132360466
2023-08-07/2023-08-13,2023-08-11,2023-08-14,481,49,49,-0.01913061039179585,-0.031417688746459733,0.012287078354663885
